"Natural" Interfaces	Body Schnittstellen (unmittelbare Schnittstellen)
Westerkamp	Soundwalking –  Stadt als akustische Umwelt  (1989/K308)  (Hildegard Westerkamp)
Westerkamp	GENTLY PENETRATING
Westerkamp	Lauschendes Radio – Radiolauschen
Weston	Contraption
Wettergebäude	Vergl. Wettergebäude  (Stadtwerkstatt) (1988) (1988/K199) (1989/J153)
Weyers	The Active Text Project (Jason E. Lewis, Alex Weyers) (2000/F35/P98) Typographie
Weyers	The Active Text Project
White	(2000/K391)  Interactive Poetic Garden (D. Small, T. White)
White	Interaktiver poetischer Garten (1998/P98) MIT (D. Small, T. White)
White	Talmud Projekt – typografische Forschung (David Small, Tom White) (2000/K403)
White_F	Winter Aconites
White_J	Superanimism
White_M	Temple - 2. Land
White_N	The Helpless Robot
White_T	A Poetic Interactive Garden
White_T	An Interactive Poetic Garden
White_T	Talmud Project
Whitehouse	Bird Seed
Whitehouse	CUB
Whiting	Ein Hemd fährt einsam durch die Hölle: (J. Laederbach)  Unnatural bodies  (Jim Whiting)  (1991/K73)
Whiting	Jim Whiting  (1991/K73)
Whiting	Rückspiegel zur Realität (1996/K337) (Just Merrit)  Heroen der Industrial Culture  (Throbbing Cristle, SRL)  Projekte von: (Hermann Atzlinger, Tina Auer, Sam Auinger, Nicolas Anatol Baginsky, Todd Blair, Tim Boykett, Denise Carusso, Tatjana Didenko, John Duncan, Chip Flynn,  L.A. Gladsjo, Brett Goldstone, Matt Heckert, Rudolf Heidebrecht, Erik Hobijn, Kathy Huffmann, Laura Kikauka, David Moises, Gordon Monahan, Mathias Moses, Marc 9, Linda Nilsson, Fritz Ostermeier,  Martin Reiter, Herbert Schager, Leo Schatzl, Manuel Schilcher, Franz Selbst, Suzanne Stephanac, Gordon W, Doris Weichselbaumer, Jim Whiting, Kathrin Wilkes, Liz Young, Erwin Zeppezauer, Berthold Zettelmeier, Alex Zuljevic
Whiting	Unnatural bodies  (Jim Whiting)  (1991/K73)
Whiting	Ein Hemd fährt einsam durch die Hölle. Jim Whiting
Whitney	1969 Cybernetic Serendipity – The computer and the arts (ICA London) (Jasia Reichardt) (08.1968 ?)  (John Whitney, Keneth C. Knowlton, A. Michael Noll, Nam June Paik, James Seawright, E. Ihnatowicz, C. Csuri)
Wid	(Der Versandkatalog als Ausstellung (Folder, Internet)  1000 Meisterwerke – bequem kaufen (Kulisch, Obereder, Pichler, Rakuschan, Wid, u.a.) (Fernsehgalerie – 1000 Meisterwerke)
Widl	„Der künstliche Wille“ Elektronische Medienoper (1984/K239)(1989/J24/J124) (P. Weibel) (Susanne Widl, Reneé Felden, ZYX)
Widl	Intermediale Persona-Performance  (Susanne Widl, Valie Export, Patricia Jünger) Mißbrauchte Frauen (1988/K135)
Widl	Stimmen aus dem Innenraum
Widrich	tx-transform
Wiegand	Errorsmith Ep #12
Wiegley	TeleGarden (Wiegley)
Wiener	Psycho-aktive Elektroakustik (Zelko Wiener) (1990/II-K339) Mindmusic (1990/II-K343)
Wiener	Alles will etwas, auch wenn es nichts will
Wiener	Passwort: Grün / Gelb / Cyan
Wiener	Statement der Jury für Computeranimation 1988 (Wiener)
Wiener	Statement der Jury für Computergraphik 1988 (Wiener)
Wiener	Zeitgenossen
Wiener	Zeitgenossen - binary art site
Wiesmair	TeleZone (1996) (Wiesmair)
Wiesmair	TeleZone (1999) (Wiesmair)
Wiesner	(A. Wollscheid, D. Wiesner)  (1993/K273)
Wiesner	Scores
Wigger	Diplomarbeiten aus Zürich: (Marc Lee, S. Leuthold, Mario Pukathofer, Niki Schawalder, Annina Rüst, F.O.K.)  (M. Hampel, F. Eggmann, M. Rheiner, G. Huber, I. Sterzinger, Anne-Lea Werlen, Carmen Weisskopf, Doma Smoljo, R. Wigger, Mascha Leummens, Annia Rüst, T. Cmomiotto, N. Schawalder, Christine Szababo, Valentina Vuksic, Susan Wintsch, Milica Tomic, Hildegard Spielhofer, Gabriela Gerber, L. Bardill, J. Köppl, Felix S. Huber, F. Wüst, Cornelia Heusser, T. Karrer
Wiggle	Flow
Wiggle	Flow in a Lift
Wight	(Gail Wight) (1999/K315)
Wight	Spike
WikiMap	WikiMap Linz (2005)
WikiMap Linz (2005)	Format für "location based story telling"
Wilding	methods of feminist practice (Huffman, Wilding, Sollfrank, Vesna/2001)
Wilding	Methoden feministischer Praxis (Netzkunst: Kathy Rae Huffman, Faith Wilding, Cornelia Sollfrank, Victoria Vesna, ...) (2001/K113)
Wilhelm	Selbstorganisation von Daten  (knowbotik research) (1993/K249) (1995/K265) Simulationsraum „Mosaik mobiler Datenklänge“ Eine begehbare Datenbank  (Christian Hübler, Alexander Tuchacek, Yvonne Wilhelm, Georg Fleischmann, Detlev Schwabe, Michael Hoch, Will Bauer, Toblas Pfeil, Rajele Jain, Udo Zyber)
Wilkes	Rückspiegel zur Realität (1996/K337) (Just Merrit)  Heroen der Industrial Culture  (Throbbing Cristle, SRL)  Projekte von: (Hermann Atzlinger, Tina Auer, Sam Auinger, Nicolas Anatol Baginsky, Todd Blair, Tim Boykett, Denise Carusso, Tatjana Didenko, John Duncan, Chip Flynn,  L.A. Gladsjo, Brett Goldstone, Matt Heckert, Rudolf Heidebrecht, Erik Hobijn, Kathy Huffmann, Laura Kikauka, David Moises, Gordon Monahan, Mathias Moses, Marc 9, Linda Nilsson, Fritz Ostermeier,  Martin Reiter, Herbert Schager, Leo Schatzl, Manuel Schilcher, Franz Selbst, Suzanne Stephanac, Gordon W, Doris Weichselbaumer, Jim Whiting, Kathrin Wilkes, Liz Young, Erwin Zeppezauer, Berthold Zettelmeier, Alex Zuljevic
Williams_J	Pots 2, 3, 4
Williams_J	Untitled (Williams)
Williams_S	Jurassic Park
Williams_S	Spawn
Williams_S	Terminator II
Williams_S	The Mask
Wilson	Interaktive Computer Theater (1981)  (1989/K168)  (Stephen Wilson)
Wilson	Telfonzellenanrufe mit Befragung  (1993/P104) (Stephen Wilson)
Wilson	Umwelt-erfassende Kunstwerke und interaktive Kunstereignisse (1989/K166) (Stephen Wilson)
Wilson	Verbrechen als Unterhaltung – Lebende Landkarte –  Aktuelle Fakten (S. Wilson) (1998/P106)
Wilson_Ma	18 G 90
Wilson_Ma	590 C30
Wilson_Mi	Nationale Sicherheit und infrastrukturelle Kriegsformen
Wilson_S	Crime-Z-Land
Wilson_S	Inquiry Theatre
Wilson_S	Is Anyone There?
Wilson_S	Umwelt-erfassende Kunstwerke und interaktive Kunst
Wimmer	Ars Electronica Projektarchiv (Wimmer)
Wimmer	Website - Ars Electronica Festival 99 - LifeScience (Wimmer)
Wingate	Klang, Kar und Melodie
Winkler	SMS-Notifier
Winslow	Electro Magnetic Poetry  (1996/P108) (Maria Winslow)
Winters	(1997/K306) Teddy quetschen  (U. Winters, C. Ebner)
Winters	If you don´t think this is art ... (2001/K60) (C. Ebner, U. Winters)
Winters	Mäuse als Netzzerstörer  (C. Ebener, U. Winters)  (1998/P86)
Winters	Symbiotic exchange of hoarded energy (C. Ebener, F. Fietzek, U. Winters) (1999/K317/P72) Goldhamster
Winters	Byte
Winters	Der Teddyautomat
Winters	HAMSTER - Symbiotic Exchange of Hoarded Energy
Winters	If you don´t think this is art, call ...
Winters	Paintball Opening
Winters	T.O.C. Takeover Campus - Work in Progress Presentation
Wintex	Futurelab team
Wintex	Humphrey II (Wintex)
Wintsch	Diplomarbeiten aus Zürich: (Marc Lee, S. Leuthold, Mario Pukathofer, Niki Schawalder, Annina Rüst, F.O.K.)  (M. Hampel, F. Eggmann, M. Rheiner, G. Huber, I. Sterzinger, Anne-Lea Werlen, Carmen Weisskopf, Doma Smoljo, R. Wigger, Mascha Leummens, Annia Rüst, T. Cmomiotto, N. Schawalder, Christine Szababo, Valentina Vuksic, Susan Wintsch, Milica Tomic, Hildegard Spielhofer, Gabriela Gerber, L. Bardill, J. Köppl, Felix S. Huber, F. Wüst, Cornelia Heusser, T. Karrer
Wirawan	Futurelab team
Wirawan	Fronius (Wirawan)
Wirawan	MCE – Turbine (Wirawan)
Wirawan	Mobile Workshop (150 Jahre Siemens) (Wirawan)
Wirawan	Projekt Wittmann (Wirawan)
Wirawan	Wittmann (Wirawan)
Wischenbart	Global Conflicts – Local Networks (I. Ramonet, Lori Wallach, Joichi Ito, Alex Galloway, D. de Kerckhove, R. Wischenbart) (2002/F11)
Wischenbart	Kultur ist ein Markt voller Widersprüche (2002/K230) (R: Wischenbart)
Wischenbart	Jetzt! Alles! Und dann?
Wischenbart	Kultur ist ein Markt voller Widersprüche
Wischenbart	Plug-In VII: Global Conflicts - Local Networks
Wischenbart	The Undertakings of Art - Who will survive?
Wishart	JurorIn 123
Wishart	Statement der Jury für Computermusik 1992 (Wishart)
Wishart	Statement der Jury für Computermusik 1993 (Wishart)
Wishart	Statement der Jury für Computermusik 1994 (Wishart)
Wishart	Tongues of Fire
Wishart	VOX-5
Wisneski	PingPongPlus
Wisneski	Pinwheels
Wisniewski	Instant Places
Wisser	Cordulas Schnur
Witkin	A.Witkin und M. Kass kommen aus dem  Bereich der Wissenschaft. Trotzdem ist ihre Grafik von einer neuen, durchschlagenden  Ästhetik (Milan Knizak) (1992/P14)
Witkin	Knot Reel / Red Dress
Witkin	RD Texture Buttons
Wittmer	Jalousien-Mensch
Wittwer	KHM at ars electronica (2002/K334) (A.de Campo, J. Lindenmaier, M. Erdbacher, J. Garancs, Dagmar Keller, M. Wittwer, Anja Kempe, Yun-Chui Kim, Viola Klein, T. Kubli, S. Mann, Ko Kubota, Anke Limprecht, Agnes Meyer-Brandis, Aurelia Mihai, Naujokaite Neringa, M.Neuenhofer, Susanne
Wittwer	Streams
Woelfl	Kunst&Politik (R. Adrian X, R. Braun, R. Woelfl) (1996/K248) Führermuseum Kunstraub
Woelfli	art&politics (Adrian, Braun, Woelfli) Fuehrer Museum
Woelfli	Kunst & Politik
Wohlgemuth	(1997/K299) (Eva Wohlgemuth)  3D-Ganzkörper-BodyScan
Wohlgemuth	Bodyscan
Wolf	Mediendesign-Gruppen: MESO & Involving Systems (Steffan Ammon, Martin Bott, Sebastian Gregor, Michael Höpfel, Joreg, Karl Kliem, Sebastian Oschatz, Max Wolf) (2003/F12)
Wolf_A	Sinus Objektbau - Körnerpark (Wolf)
Wolf_A	solarCity (1999) (Wolf)
Wolf_A	solarCity (2000) (wolf)
Wolf_A	Visualisierung Lentos (Wolf)
Wolf_P	Klangwolke
Wolf_P	Visualisierte Linzer Klangwolke (2004)
Wolf_R	1. Der Ball ist rund (1979)
Wolfe	Body mapping: PET Positronen Emmisions Tomographie (1997/K16) MRT Magnet Resonanz Tomographie (fMRT) (Tom Wolfe) (1997/K219) „Brain Imaging“  3D-Elektroenzephalographie  MRS Magnetresonanzspektroskopie
Wolfe	Sorry, aber Ihre Seele ist gerade gestorben
Wollscheid	(A. Wollscheid, D. Wiesner)  (1993/K273)
Wollscheid	Scores
Wolman	Medea
Wonder	Maelstromsuedpol - Journey & dream (Wonder, H. Goebbels, Mueller)
Wonder	(Maelstromsüdpol)  Eintauchen in Farbe (1988/K104)  Lichthöfe, Lichtmeer, Farbräume (Wonder, H. Goebbels, Müller)
Wonder	Schiff & Zug / Reise&Traum (Maelstromsüdpol) (1988/K104) (Wonder, H. Goebbels, Müller)
Wonder	MAeLSTROMSÜDPOL
Wong	Movieline in der Hopfenlaube 2000
Woodard	Having encountered Eve for the second time, ...
Woolford	Feldstörungen und Datenturbulenzen (Kirk A. Woolford) (1995/P134)
Woolford	Aurora on the Line
Worby	OMV Klangpark 1999
World	Netbabyworld
Wortzel	(1997/F09) Ein Fest für Linz:  (... P. Öttl, C.M. Silva, A.Wortzel, DJ Riot, DJ Willi, M. Janssen, D. Kousbroek)
Wortzel	Globe Theater – Ein Historienspiel für Roboter (Adrianne Wortzel)  (1997/K350)
Wortzel	Globe Theater. Ein Historienspiel für Roboter
Wössner	raum.art
Wozencroft	L´Espace temporel
Wright	Superanimism
Wu	JurorIn 124
Wu	Statement der Jury von u19 freestyle computing 2000 (Wu)
Wu	Statement der Jury von u19 freestyle computing 2002 (Wu)
Wühr	Verirrhaus (1972)
Wührer	Panel VI: Networks and Business
Wüst	Diplomarbeiten aus Zürich: (Marc Lee, S. Leuthold, Mario Pukathofer, Niki Schawalder, Annina Rüst, F.O.K.)  (M. Hampel, F. Eggmann, M. Rheiner, G. Huber, I. Sterzinger, Anne-Lea Werlen, Carmen Weisskopf, Doma Smoljo, R. Wigger, Mascha Leummens, Annia Rüst, T. Cmomiotto, N. Schawalder, Christine Szababo, Valentina Vuksic, Susan Wintsch, Milica Tomic, Hildegard Spielhofer, Gabriela Gerber, L. Bardill, J. Köppl, Felix S. Huber, F. Wüst, Cornelia Heusser, T. Karrer
X99	TV-Diner
Xaver	public display - Wilder Efeu (Stadtwerkstatt, Xaver, Mutter)
Xaver	Die elektronische Galerie  (Kunstlabor: Max Kossatz, Oskar Obereder, F.E. Rakuschan, Franz Xaver) (1995/K271)
Xaver	Öffentliches Display Wilder Efeu (Stadtwerkstatt)  (F. Xaver, Chris Mutter)  Clickscape 98 (Stadtwerkstatt) (1998/K183) Gebäude-Pixelgrafik, steuerbare Lichtskupltur  (Lehner, Seidl, Ritter, Estl)
Xaver	Rotting Apple  (Franz Xaver)
XDV.org	Container Park
XDV.org	Festival 2001 - Takeover 44
Xenakis	(1990/K-I-59) (Iannis Xenakis) Musiker, die Computer benutzen, sind im allgemeinen Theoretische Krüppel, besonders was die Ideen der Mathematik, Physik und Akustik anlangt
Xenakis	Carson Jeffries, Otto Piene, Joel Stein, C.F. Reuterwärd, Iannis Xenakis, Paul Ears .... haben bei multimedialen Aufführungen Lasertechnik verwendet (FP)
Xenakis	Diagrammatische Schnittstelle für Musikcomputer – UPIC / Die Zeichnungen werden als Druckkurven, dynamische Hüllkurven, Partituren ... interpretiert (Iannis Xenakis)  (1990/I-K69,K72)  (1992/II-K44)
Xenakis	Korrespondenzen zw. Entwicklungen der Musik und der Mathematik (Iannis Xenakis)  (1990/K-I-74) (2003/K345)
Xenakis	Visualisierungen zu Xenakis: Bill Viola
Xenakis	Visualisierungen zu Xenakis: Gerda Palmetshofer
Xenakis	Visualisierungen zu Xenakis: Justin Manor
Xenakis	Visualisierungen zu Xenakis: Lia
Xenakis	Visualisierungen zu Xenakis: M. Subotnick
Xenakis	Visualisierungen zu Xenakis: M. Wattenberg
Xenakis	Visualisierungen zu Xenakis: Marius Watz
Xenakis	Visualisierungen zu Xenakis: Otomo Yoshihide
Xenakis	Visualisierungen zu Xenakis: Ryoji Ikeda
Xenakis	Visualisierungen zu Xenakis: Sue Costabile
Xenakis	computer-composing
Xenakis	Wanderungen der musikalischen Komposition
Xerox	(1970/T) Gründung Xerox Palo Alto Research Center
x-space	co.in.cide – der dritte Ort
xxero	launching xxero
xxero	XXERO – kollaborative MOO-basierte Umgebung (2001/K313) (Ushi Reiter, Florence Ormezzo, Tamiko Thiel, Marlena Corcoran, Valentina Djordjevic, Aileen Derieg)
Yaeger	Poly-World (Larry Yaeger) (1993/K122)  Künstliche Kreaturen bauen (Pattie Maes)  (1993/K184)
Yamamoto_K	media winds from Asia (Keigo Yamamoto)
Yamamoto_K	Medienwinde aus Asien  (Keigo Yamamoto)  (1994/K215) (1999/J286)
Yamamoto_K	Medienwinde aus Asien
Yamamoto_K	Mulonga.Net
Yamamoto_S	(2003/P76) (Shinya Yamamoto)
Yamamoto_S	Sinplex Show
Yamamura	Japanese Animation!  ACA Media Arts Festival  (2003/F19,K393) (S. Tomioka, K. Yamamura, U. Tanaka, S. Hirata, S. Sakamoto, A. Kondoh, M. Shinka)
Yamamura	Mt. Head
Yamamura	Prix Ars Electronica Forum - Computeranimation / Visualisation (2003)
Yamanaka	Cyclops—An Observing Giant
Yamashita	Rhapsody in Light and Blue
Yanikian	medical devices as sound transmitters: breathing ... (Yanikian/1989)
Yanikian	physical violence within the human body (Yanikian/1987)
Yanikian	Aorta (Jeanette Yanikian)   Medizinische Geräte als Klangübermittler: Blutrauschen, Herzklopfen, Atmung, Verdauung (1989/J143)
Yanikian	Klang-Körper-Performances  Aorta (Jeanette Yanikian)  (1987/K138) (1989/J143)  Konstrument (Harry de Wit) (1989/J143)  Touch Monkeys (Michel Waisvisz) (1987/K144) (1989/J59)
Yanikian	Reise durch den Körper / Physische Gewalt innerhalb des menschlichen Körpers /  Pumpende Gewalt in den Aterien (Jeanette Yanikian)  (1987/K138)
Yarbrow	Utopia
Yeager	Symposium „Artificial Life“ (1993/K105)
Ying	The Bush Soul
Yoo	The Bush Soul
Yoshida_A	astro twin / cosmos
Yoshida_A	Digital Musics in Concert
Yoshida_A	Prix Ars Electronica Forum - Digital Musics
Yoshida_T	Flow in a Lift
Yoshiura	(2002/P146) (Yasuhiro Yoshiura)  Tolle Nachwuchskräfte
Yoshiura	Kikumana
Young	Rückspiegel zur Realität (1996/K337) (Just Merrit)  Heroen der Industrial Culture  (Throbbing Cristle, SRL)  Projekte von: (Hermann Atzlinger, Tina Auer, Sam Auinger, Nicolas Anatol Baginsky, Todd Blair, Tim Boykett, Denise Carusso, Tatjana Didenko, John Duncan, Chip Flynn,  L.A. Gladsjo, Brett Goldstone, Matt Heckert, Rudolf Heidebrecht, Erik Hobijn, Kathy Huffmann, Laura Kikauka, David Moises, Gordon Monahan, Mathias Moses, Marc 9, Linda Nilsson, Fritz Ostermeier,  Martin Reiter, Herbert Schager, Leo Schatzl, Manuel Schilcher, Franz Selbst, Suzanne Stephanac, Gordon W, Doris Weichselbaumer, Jim Whiting, Kathrin Wilkes, Liz Young, Erwin Zeppezauer, Berthold Zettelmeier, Alex Zuljevic
Young	Virtual
Youngblood	metadesign reunites art and politics: it enables to have a politcal impact (Gene Youngblood)
Youngblood	Computerkultur  (1989/J20)  (1986/K09) Symposion  (Gene Youngblood, Larry Cuba, Kathy Rae Huffman, Franke, Hans Donner)
Youngblood	Gene Youngblood  (1984/K119)
Youngblood	Metadesign führt Kunst und Politik wieder zusammen: es befähigt die Kunst politisch zu wirken. Metadesigner  arbeiten mit kulturellem Kontext (Gene Youngblood) (1986/K238)
Youngblood	The Satellite Art Project (1986/KII-291) Signale durchlaufen eine 90.000 km Schleife (Text: Gene Youngblood)
Youngblood	Calculated Movements
Youngblood	Computerkunst als Lebensart – Jane Veeder
Youngblood	Cray-1
Youngblood	Der virtuelle Raum – Die elektronischen Umfelder ...
Youngblood	Die neue Renaissance: Kunst, Wissenschaft ...
Youngblood	Ein Medium reift heran: Video und das Unternehmen ...
Youngblood	Metadesign: Auf dem Weg zu einem Postmodernismus ...
Youngblood	Re-Inventing Radio - Symposium
Youngerman	Elektronische Musik (1992/K240) J. Chowning, J. Fritsch, B. Mason,  S. Stockhausen, J. Tenney,  D. Youngerman
Youngerman	IKREK
Yu	Map of the market  (M. Wattenberg, Joon Yu) (1999/P54)
Yuko Nexus 6	Journal de Tokyo
Yuri	(1998/K264) Time´s up (Tim Boykett)  „Pseudowissenschaftler“ : (Staalplaat, Negativland, Muzictoerist, Barbed, People like us, N.A, Baginsky, Gordon Monahan, Leo Schatzl, Rosa von Suess, Karthik Swaminathan, Yuri, Triclops International, Insight Instruments, Prema Murthy, John Duncan, Nuoc mam dirndl, Gelatin) Künstler als Forscher
Z´EV	(Erik Hobijn, Lydia  Lunch, Z´EV)  (1991/K103)
Z´EV	X/IX
Zabelka	experiencing corporeality (Mia Zabelka, Peter A. Ecker)
Zabelka	Colophony Circuit  (Electric Indigo, Mia Zabelka) (2003/K336)
Zabelka	Erleben der Körperlichkeit  (Mikrophone am Körper) Elektroakustische Performance (Syntvioline)  (Mia Zabelka, Peter A. Ecker)  (1988/K153)
Zabelka	bewegt – erstarrt, klang- und körperFIGUREN 15
Zabelka	Chip Radio
Zabelka	Colophony Circuit
Zabelka	login: Ars Electronica
Zabelka	Sandstrahlentrost
Zachl	TimeExplorer (2000) (Zachl)
Zachmann	(1997/K354) (H. Zachmann)  3D Audio-Düker
Zachmann	3D-Audio-Düker
Zajc	Es ist offensichtl. – aus  der Kunst, der Entwickl. neuer Technologien, dem  Fernsehen – daß die Intensivierung der Erfahrung als eines der Hauptziele gilt. (Melita Zajc) (1995/K68)
Zajc	Liveübertragungen von Operationen aus dem öffentlichen Krankenhaus sind äußerst beliebt  (Melita Zajc)  (1995/K77)
Zajc	Techno und – in einem noch größeren Maß – Rave-Parties ermöglichen direkte Erfahrung. Man spürt den Rhythmus, hört die Geräusche, sieht die Lichter (Melita Zajc) (1995/K68)
Zajc	Telefonsex als safe sex  (Melita Zajc)  (1995/K68) (1999/J292)
Zajc	Keep Him on the Phone
Zajec	Composition in Red, Green, Blue
Zancker	Displaced Dice
Zanesi	Bandkonzerte (Zanesi)
Zapato	AI (2003/K224) (H. Cohen, J. Petrow, G. Papp, T. Spiller, Lyle Zapato)
Zapp	fließend verändernde Bilder auf Wasserwänden (Andrea Zapp, Paul Sermon) (2000/F36/P106)
Zapp	A Body of Water
Zappe	„juke_bots“ Interaktive Roboter-Sound-Installation (transmediale) (Gommel, Haitz, Zappe)
Zaremba	Medien(kampf)kunst  (Jutta Zaremba) (2001)
Zawadzka	Greya
Zec	Der Designer wird mehr und mehr zum Informationsgestalter, d.h. zum Experten für „intelligente“ Visualisierungssysteme und -techniken (Zec)
